Artist_album_id,Track_id,Track_name,Track_ms,Track_number
2GlNxsOWZEeOY9f2VDRhGt,06DNeAJi8GYZn9TpCF8r2X,wherever u r (feat. V of BTS and NATURE),186896,1
7v4sqd0NZ9Fm8HnwCcCGIs,0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,148082,1
7v4sqd0NZ9Fm8HnwCcCGIs,6G3myAs4HemIdtLYhhjGLP,FRI(END)S (Instrumental),148435,2
7v4sqd0NZ9Fm8HnwCcCGIs,0v6wAlWCzHYj1OuJrVuH7J,FRI(END)S (Sped Up),123000,3
7v4sqd0NZ9Fm8HnwCcCGIs,4njgp1LC4XoUsnF3pN0WXX,FRI(END)S (Slowed Down),162000,4
1JrQJJbaphONLPqZRW7Hxw,6vt0ZVQyX3Oq3BNR1W5Pdo,wherever u r (ft. V of BTS),153034,1
1JrQJJbaphONLPqZRW7Hxw,0QKqNIRuEpRefFa6aVCCwj,wherever u r (ft. V of BTS) - Lullaby [V-Ron Mix],181589,2
1JrQJJbaphONLPqZRW7Hxw,1wn50dC1Ozux1iS3qnzj4z,wherever u r (ft. V of BTS) - [Instrumental],153034,3
1JrQJJbaphONLPqZRW7Hxw,2jGScMNshJuhHEGW0uE47N,wherever u r (ft. V of BTS) - Meditation [V-Ron Mix],162000,4
2LwzZahqXWr0POXIWI7WaN,1k255f17DRuRbGrfz5Ifmd,wherever u r (ft. V of BTS),153034,1
5qVmDaecbgUasrvDudT39K,6mSCY4xjKyt5xLlgOXXHSk,Slow Dancing (FRNK Remix),169840,1
5qVmDaecbgUasrvDudT39K,31jZYFQEtq0ud5y9fDN4cw,Slow Dancing (Cautious Clay Remix),171904,2
7ixOAT89NSsgUITYc5ByB5,54bg1e6ABcZfpU3yzwxnPf,Rainy Days,179560,1
7ixOAT89NSsgUITYc5ByB5,2UU11hvjN1JIn4iihEodNT,Blue,149853,2
7ixOAT89NSsgUITYc5ByB5,0SftJDguUa1F5SsQwwkLw4,Love Me Again,182293,3
7ixOAT89NSsgUITYc5ByB5,5h1BN75CEh8wdSwE1xrbSe,Slow Dancing,187026,4
7ixOAT89NSsgUITYc5ByB5,4HAOgAnILvXCbSODMoRnmD,For Us,171160,5
7ixOAT89NSsgUITYc5ByB5,7pgbDdy7ax962o9d2xJceV,Slow Dancing (Piano Ver.),188093,6
1ZBDI1LqnuAKdrePUF2D5m,5ydjxBSUIDn26MFzU3asP4,Rainy Days,179560,1
1ZBDI1LqnuAKdrePUF2D5m,2N0SPREDYqILVEFSsWF5N5,Love Me Again,182293,2
4210mSQ3r10AsJMZEYAH5l,186NCtNk1tUYS7c2DxgJ7O,Christmas Tree,209946,1
4210mSQ3r10AsJMZEYAH5l,37rnSr2ZCkzqmoUqGQtn4q,Christmas Tree - Inst.,209946,2
4w5Rzux7dz1GkLkNkMd7L3,34IGOyXR6cn0YI9VBu8m0y,Snow Flower (feat. Peakboy),229013,1
3Y0g1Cgg3DPMvNoaOgfeT7,3Wno87vVBVbSVS2vUUFuKC,Sweet Night,214258,1
3Y0g1Cgg3DPMvNoaOgfeT7,2t4Ab1dHWWgc9QrU8erQ5k,Sweet Night (Inst.),214258,2
14q6R8M7lDDjWuLjGNKQDj,74ewFAgDzRkhZ7EX2eLtfZ,Winter Bear,174824,1
42GFBLpnHzGbuROBi6B4Ab,1UHkDovEFqHzHCPyNe0BTy,Scenery,294252,1
0sL76PXbgRh97MTzadqEMa,2LowwiemmGMzzNSH1PJprK,It's Definitely You,230693,1
0sL76PXbgRh97MTzadqEMa,1bItNehmEre5eCsR5IVUNX,It's Definitely You - Instrumental,230719,2
2jblGdoTBNv62V7taQRGKr,4tSGr0EvMa5yntrfpxlE4s,You Make Me Back,194773,1
2jblGdoTBNv62V7taQRGKr,2TPQM3qAkWBpVRvgWJ7wmn,시작,202440,2
2jblGdoTBNv62V7taQRGKr,1emybHPg2yDu4z7dgWgayM,Still Fighting It,319640,3
2jblGdoTBNv62V7taQRGKr,1Y1ecUNwYEbJqq959QnKKr,Maybe,228346,4
2jblGdoTBNv62V7taQRGKr,2m8kGGEiRmbnJGIo6nwjWP,우리의 밤,283666,5
2jblGdoTBNv62V7taQRGKr,5Eta0DrzZ5gzL5gI5pus5N,직진,172986,6
2jblGdoTBNv62V7taQRGKr,5s40jmTuJW20UrcPb4wXWl,그때 그 아인,287813,7
2jblGdoTBNv62V7taQRGKr,5BpvyzRpuu3GoEu79OOnAv,You Make Me Back (Inst.),194773,8
