Track_id,Track_name,Track_ms,Track_number
4Wy1M8fMAgHmLdIDx4upd2,be mine,173854,1
75L6gVE2YZhRWQRxe9zSaR,optimistic,166416,1
1Pt5syTlJvn3FOqAET84WF,2nd Favourite 第二最愛,190028,1
52v0iQLWfcrwC8E5F9Q0nX,Self-made (Something Pt.2),149654,1
6qfHEyREqyUZEnxzWl8Ekv,if i die tonight,145904,1
3bCHq7KwhohjpfaIb4pGsg,if i die tonight (acoustic),143985,2
2BQIL0U5QdqK17n5o8KZB1,i don't smoke & i don't drink,170951,1
6Y6PjsfnxsIsH6gzPOxqbY,december,141679,1
6FBCLU5nIwc21sYcPy8ubP,That Guy,168207,1
3aThBcTv6nQJT60yYNlAy1,The Ad Song That We Didn't Sell (DEMO),58588,1
3LmNS7u6LH5cfnosEshWRC,Stressed Out (Live Version),132927,1
11xUys3eUTa4r7sOJeb8UP,B.A.E (Live Version),183694,2
2UzznjXMeKjVwwUIZg9w9d,Sp (Live Version),153201,3
5OGgm0LRqNE06YXnhZUt1b,Something (Live Version),162417,4
77VnDVHXz62tqhHABfQXVY,In My Dream (Live Version),151381,5
1B62jqI8xHS3UCZkGxaklK,Better,167309,1
2SkybnWOVxUGUIxzsGWuH8,In My Dream,142987,1
6GqOO7QwU0t1Dvj33C6iWZ,Stranger (feat. Panda),224000,1
4i7Fz5rdTN32hB8YfXUjJA,Stressed Out,147066,1
148ExvzfRurFn5IDfXrRf0,Something,150967,1
44CfAalM3j6baIplG3Cw1Y,Fly,176000,1
1FXKPnHtUYSgedFxnbgYSC,忘記你,173000,1
4nVzhBHEMdX1UI2fS9qWKF,Growing Up,214804,1
5CcP3d5V5OvSbyw8zhuq0O,"She Said, Pt. 2 (feat. Marz23)",215272,1
5c0ZlenunSAAdUS0DJgKTR,Right Here,173924,1
1h8dkllZVVtKhFJ2bsiuBC,Christy,174000,1
35qdmMVox7PxirLOrTATa0,To My Boss,179740,1
2SPxvhq9TVhk6hgoN253Ku,To My Boss,180740,1
048nEK809e3omwbS5R7iKA,Let Go,193846,1
2R0HhpNVkeOcfXR0VbMXNC,She Said,234000,1
5xTRlUIntnR6U5ihYq3RzJ,Bae,198000,1
7Kk4RaZM3p7hnypFrMhvpf,To My Queen,136000,1
2jTy9rFV3Ym2TS0uqSEs15,I Hate You,190399,1
5uwCMXDQ7w3XI4fXIUuNqU,Don't Wanna Wake Up,194592,2
4M8aT4P3AlJUGQ4DqaXJpV,我不是饒舌歌手,212765,3
2nPOwaPw4wzXHJXzKCXJ7I,寂寞男孩 (feat. TYSON YOSHI),243200,4
