Artist_id,Artist_album_id,Artist_album_name,Album_tracks,Album_release_date
3JsHnjpbhX4SnySpvpa9DK,2GlNxsOWZEeOY9f2VDRhGt,wherever u r (feat. V of BTS and NATURE),1,2024-04-18
3JsHnjpbhX4SnySpvpa9DK,7v4sqd0NZ9Fm8HnwCcCGIs,FRI(END)S,4,2024-03-15
3JsHnjpbhX4SnySpvpa9DK,1JrQJJbaphONLPqZRW7Hxw,wherever u r (ft. V of BTS),4,2024-02-14
3JsHnjpbhX4SnySpvpa9DK,2LwzZahqXWr0POXIWI7WaN,wherever u r (ft. V of BTS),1,2023-12-30
3JsHnjpbhX4SnySpvpa9DK,5qVmDaecbgUasrvDudT39K,Slow Dancing (Remixes),2,2023-10-23
3JsHnjpbhX4SnySpvpa9DK,7ixOAT89NSsgUITYc5ByB5,Layover,6,2023-09-08
3JsHnjpbhX4SnySpvpa9DK,1ZBDI1LqnuAKdrePUF2D5m,Layover,2,2023-08-11
3JsHnjpbhX4SnySpvpa9DK,4210mSQ3r10AsJMZEYAH5l,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",2,2021-12-24
3JsHnjpbhX4SnySpvpa9DK,4w5Rzux7dz1GkLkNkMd7L3,Snow Flower (feat. Peakboy),1,2020-12-25
3JsHnjpbhX4SnySpvpa9DK,3Y0g1Cgg3DPMvNoaOgfeT7,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,2,2020-03-13
3JsHnjpbhX4SnySpvpa9DK,14q6R8M7lDDjWuLjGNKQDj,Winter Bear,1,2019-08-10
3JsHnjpbhX4SnySpvpa9DK,42GFBLpnHzGbuROBi6B4Ab,Scenery,1,2019-01-30
3JsHnjpbhX4SnySpvpa9DK,0sL76PXbgRh97MTzadqEMa,"HWARANG, Pt. 2 (Music from the Original TV Series)",2,2016-12-20
3JsHnjpbhX4SnySpvpa9DK,2jblGdoTBNv62V7taQRGKr,ITAEWON CLASS (Original Television Soundtrack),77,2020-03-20
3JsHnjpbhX4SnySpvpa9DK,2uT2gkcxVfUKP3YqYOMaNs,Our Beloved Summer (Original Television Soundtrack) Special,33,2022-01-26
3JsHnjpbhX4SnySpvpa9DK,0DbUqmdD39ndx8EUlhhSUx,HWARANG (Music from the Original TV Series),41,2017-02-28
1oSPZhvZMIrWW5I41kPkkY,5AQc0yFXRcdUdko4sZ1fW9,MUSE (WONDER ver.),10,2024-07-23
