Artist_id,Artist_album_id,Artist_album_name,Album_tracks,Album_release_date,
3dayhmhJfL4I8w1PuL9MqQ,7ykjP8lX5msv0ZjZjykLsh,be mine,1,2023-04-28,
3dayhmhJfL4I8w1PuL9MqQ,1s6uzljfCJ6M2NmgWu7h9H,optimistic,1,2023-02-17,
3dayhmhJfL4I8w1PuL9MqQ,3y88HyXt2fDHhs00Hr4cFD,2nd Favourite 第二最愛,1,2022-12-15,
3dayhmhJfL4I8w1PuL9MqQ,5wYzjLUqMUBv7pPbMvWUgP,Self-made (Something Pt.2),1,2022-08-19,
3dayhmhJfL4I8w1PuL9MqQ,0FFAntk0L1LCmdZf2rHm0B,if i die tonight,2,2022-06-24,
3dayhmhJfL4I8w1PuL9MqQ,3p2buXwB34FSSt8c7PJxc4,i don't smoke & i don't drink,1,2022-03-23,
3dayhmhJfL4I8w1PuL9MqQ,13MmfXED6KtMvZW8RYWlh0,december,1,2021-12-24,
3dayhmhJfL4I8w1PuL9MqQ,59fBBYyNek6i29jPxHEkRd,That Guy,1,2021-11-19,
3dayhmhJfL4I8w1PuL9MqQ,0l8yGbapFo96OGzm9tfhEr,The Ad Song That We Didn’t Sell (DEMO),1,2021-10-19,
3dayhmhJfL4I8w1PuL9MqQ,3vkbYVbbiGBBt9IsFvUuW5,I'm Back Live (Live),5,2021-08-20,
3dayhmhJfL4I8w1PuL9MqQ,2R7sD1yDUwbuKnOJ0y3Ua1,Better,1,2021-07-24,
3dayhmhJfL4I8w1PuL9MqQ,7oiLBhTBbIwrjLm6LARYDo,In My Dream,1,2021-03-13,
3dayhmhJfL4I8w1PuL9MqQ,46Y1wE6eQ2KWQW5Qy1SfOH,Stranger,1,2021-01-14,
3dayhmhJfL4I8w1PuL9MqQ,3wFvj8gKRYA4DBEEemyck0,Stressed Out,1,2021-01-09,
3dayhmhJfL4I8w1PuL9MqQ,5ZxUqw4chz2H8dl4HghGPB,Something,1,2020-11-07,
3dayhmhJfL4I8w1PuL9MqQ,5reVHypbHzFRSro8x1M3S0,Fly,1,2020-07-19,
3dayhmhJfL4I8w1PuL9MqQ,5YAOaFsj8b0s34SDYeT1J5,忘記你,1,2020-05-15,
3dayhmhJfL4I8w1PuL9MqQ,0shJr4P1WmCAecEHuKLRQ1,Growing Up,1,2020-04-12,
3dayhmhJfL4I8w1PuL9MqQ,1Av8fJpgsYw62DcakVojuL,"She Said, Pt2",1,2020-01-27,
3dayhmhJfL4I8w1PuL9MqQ,45cM00t3wCXuxvMOHoZ4rv,Right Here,1,2019-10-11,
3dayhmhJfL4I8w1PuL9MqQ,6DWcImWspb4W0PgCVXhw7H,Christy,1,2019-07-22,
3dayhmhJfL4I8w1PuL9MqQ,7bgSiIVEqYc2sOMewCb2gF,To My Boss,1,2019-03-29,
3dayhmhJfL4I8w1PuL9MqQ,74WusxUVxp0Rdj9SkAFu0K,To My Boss,1,2019-03-29,
3dayhmhJfL4I8w1PuL9MqQ,4v3y9TPiyk05sWridruSoT,Let Go,1,2019-03-22,
3dayhmhJfL4I8w1PuL9MqQ,7qeXxhgCTGrulhiVAGeFVx,She Said,1,2019-01-25,
3dayhmhJfL4I8w1PuL9MqQ,13B4yT3s1no6guRignddg6,Bae,1,2018-11-09,
3dayhmhJfL4I8w1PuL9MqQ,0x1xZf3huCjpt0A405d4z0,To My Queen,1,2018-08-11,
3dayhmhJfL4I8w1PuL9MqQ,1i9NZgKrjl9gQVIczUEJYh,23,11,2020-08-18,
3dayhmhJfL4I8w1PuL9MqQ,08iLOPluVXkxYkeqLRos70,RISE,11,2023-12-29,
3dayhmhJfL4I8w1PuL9MqQ,5hZUgsII3WtoP9xGCkR2dj,SUMMER BLUES,54,2023-06-16,
3dayhmhJfL4I8w1PuL9MqQ,1ul9zbizLIgYYDXI8c9GYJ,Ireallylovetosing,10,2023-08-04,
3dayhmhJfL4I8w1PuL9MqQ,5dXoXMcOrVg7z7YhYUoef9,寂寞男孩 (feat. TYSON YOSHI),1,2019-11-12,
3dayhmhJfL4I8w1PuL9MqQ,7pX9nzHxhg0Tk9fj0raJeK,Proud of Being a Rapper,10,2019-06-21,
3dayhmhJfL4I8w1PuL9MqQ,0f5pjLRcpzy1E8T8EM2qBh,What I'm Feeling,1,2019-08-15,
45dkTj5sMRSjrmBSBeiHym,0OUOx6rJXtL66AzTnP9KUE,THINK LATER,14,2023-12-08,
45dkTj5sMRSjrmBSBeiHym,5fhTetHew6Eph6HfQ9O5gJ,i used to think i could fly,13,2022-05-27,
45dkTj5sMRSjrmBSBeiHym,7kA1X8P36UnRcUPMngcGiz,exes (Syn Cole Remix),1,2024-03-08,
45dkTj5sMRSjrmBSBeiHym,1U663EH8lg9Z0Jxk1hSWh9,exes (Regard Remix),1,2024-02-02,
45dkTj5sMRSjrmBSBeiHym,6iAheP6Xd45D2CocnMGMmE,Spotify OUTSIDE,1,2023-12-06,
45dkTj5sMRSjrmBSBeiHym,0dIpV8isK5mSDnSm8odPWW,greedy (remixes),6,2023-10-27,
45dkTj5sMRSjrmBSBeiHym,3UOV8XvCwMKaATRNXrYCjN,greedy,1,2023-09-15,
