artist,artist_id
V,3JsHnjpbhX4SnySpvpa9DK
Jimin,1oSPZhvZMIrWW5I41kPkkY
Bestards,0Awqm7GXGiBp8fJNGvywra
ILLIT,36cgvBn0aadzOijnjjwqMN
BABYMONSTER,1SIocsqdEefUTE6XKGUiVS
Lee Young Ji,0Y2AcMPMpeuPXtPQGVvRBq
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx
邱軍,5LKh6CH11tVjyXpxz2NjFW
Firdhaus,6fOqdhRNsMQqtwRwgo3NUv
NewJeans,6HvZYsbFfjnjFrWF950C9d
aespa,6YVMFz59CuY7ngCxTxjpxE
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
承桓,3ZYhFl4nztqc9vx35vKdUI
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky
高爾宣 OSN,4TcOznbEZBqev21LzAH4KE
Jung Kook,6HaGTQPmzraVmaVxvz6EUc
张韶涵,4txug0T3vYc9p20tuhfCUa
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B
LISA,5L1lO4eRHmJ7a0Q6csE5cT
Stray Kids,2dIgFjalVxs4ThymZ67YCE
Taylor Swift,06HL4z0CvFAxyc27GXpf02
卢卢快闭嘴,4wUR1NviIGE01yEfeLNkeV
ZQS,6CvqU8itTtfpm1E8Pvez33
ZICO,4XpUIb8uuNlIWVKmgKZXC0
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p
NAYEON,1VwDG9aBflQupaFNjUru9A
Karencici,6v6qfXRvTRGGsmGfDvtMIK
Energy,6GUGvmk5XZesTWRQdkp69u
JOYCE 就以斯,2rnMTHqTdSXZ9h9drhPanv
Jay Chou,2elBjNSdBE2Y3f0j1mjrql
ØZI,7Icsejk4pdIhkq2KO5A0jD
颜人中,5PNcqs6EtD6gSXgUiiJIUU
Patrick Brasca,1xCrrnnj9xif5G0y3ie5dM
WeiBird,7y3HnWCFEvWj4KM9GFSkiX
Nicky Lee,6DuHQk8gJbyVlhajer8IuF
Cyndi Wang,3AroL2oDPiAnMpTmIQv3KP
Capper,0NWX8s7X9gtjad7sIB0uba
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
Jolin Tsai,1r9DuPTHiQ7hnRRZ99B8nL
政学Zed-X,7DAjUaK40De066EOFR6fxB
elijah woods,3IR6DvP0x2a6oUSist9UMu
Benson Boone,22wbnEMDvgVIAGdFeek6ET
陳華,5ZxRmJ21NzjxD2ZGBxi7um
王宇宙Leto,1llNL6f36GgpMrKnRCx0uK
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
keshi,3pc0bOVB5whxmD50W79wwO
EggPlantEgg,6g641431O1Xkl7HAs2yFEg
Ronghao Li,0rTP0x4vRFSDbhtqcCqc8K
The Chainsmokers,69GGBxA162lTqCwzJG5jLp
小阿七,7tDLiRbNQalA5uvTpX2bKh
David Tao,40tNK2YedBV2jRFAHxpifB
向思思,7jlM8w6yhqvHOYZ7y32CNX
Dhruv,70NcAr4ZtA3FAqU16iQZSb
李浩瑋 Howard Lee,7EkkWNWPiWFQ0rA9IEmMXs
en,5t5FqBwTcgKTaWmfEbwQY9
Stefanie Sun,0SIXZXJCAhNU8sxK0qm7hn
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
Tanya Chua,376pcuw4IgWBMOUwCr8kIm
XG,0LOK81e9H5lr61HlGGHqwA
王赫野,2sAy0e2cL6jbo0ukxlxWNJ
Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo
IVE,6RHTUrRF63xao58xh9FXYJ
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9
sodagreen,3WYT2b8pOLsLsqSaoWYr7U
Xiao Bing Chih,0Ej4GfzIcW3dWP0rC5d4x1
IN-K,7h7bdV2cTz6zruH7qYC2ME
阿冗,3dTgjg7lzUGiD3NwcGCK1n
JJ Lin,7Dx7RhX0mFuXhCOUgB01uM
Chappell Roan,7GlBOeep6PqTfFi59PTUUN
J.Tajor,0VpMOC5IZU06u29fWjv3qJ
Eric Chou,5fEQLwq1BWWQNR8GzhOIvi
TRASH,3rt96VXGtEgD4uSOJ6B69H
芒果醬 Mango Jump,1t1GIb4bb1lARAXwWEekUN
告五人,6xErgeZYatiaQ36SB5bvi8
郑润泽,6KKqrrPtPB4eR1T5DT6dJ4
A-Lin,28gf2piFx6cAKOMIwcky5a
Justin Bieber,1uNFoZAHBGtllmzznpCI3s
苏星婕,19nBOLVLKxrijWEvjpXFI8
Mixer,4AWa6pcQK9J9aSAN67cLHv
张远,3PutidTQajzWO1gTetJReW
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj
One Direction,4AK6F7OLvEQ5QYCBNiQWHq
G.E.M.,7aRC4L63dBn3CiLDuWaLSI
曾瑋中,7zY8finbugZLFpNfwNe4qW
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
Post Malone,246dkjvS1zLTtiykXe5h60
周星星,2pu04SDXMrNFw0DMgsrFMp
Rachel Liang,4rdSHzO4enUlVxdQeHPGTp
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB
Myles Smith,3bO19AOone0ubCsfDXDtYt
YUQI,22aCD8IrQZjcPgZw728QT6
RIIZE,2jOm3cYujQx6o1dxuiuqaX
Fish Leong,3aIDSTKS9yH745GUQBxDcS
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB
LBI利比,1xMn0bhYRWHDV01mU8gP1J
Sophie Chen,2DIegoHjgAlIc6HYGGbu4h
Power Station,6zCAdMK7SVxKyGMnAc26Cy
Vaundy,2IUl3m1H1EQ7QfNbNWvgru
吕口口,3Wscg8TgjGseAke9eOrwDC
GooGoo,2cN49MJcKOfWT8gJHfYWaf
Shi Shi,4XKp9GFAQfsh2NflSRnHQi
Tyson Yoshi,3dayhmhJfL4I8w1PuL9MqQ
Tate McRae,45dkTj5sMRSjrmBSBeiHym
Teddy Swims,33qOK5uJ8AR2xuQQAhHump
