rank,track_and_artist,streams,artist,track
1,V - Love Me Again,1,V,Love Me Again
2,Jimin - Who,1,Jimin,Who
3,V - FRI(END)S,2,V,FRI(END)S
4,Bestards - 離開的一路上,1,Bestards,離開的一路上
5,ILLIT - Magnetic,1,ILLIT,Magnetic
6,BABYMONSTER - FOREVER,2,BABYMONSTER,FOREVER
7,V - Slow Dancing,4,V,Slow Dancing
8,Lee Young Ji - Small girl (w/ D.O.),1,Lee Young Ji,Small girl (w/ D.O.)
9,(G)I-DLE - Klaxon,6,(G)I-DLE,Klaxon
10,邱軍 - 運轉人生 - 影集《華麗計程車行》插曲,10,邱軍,運轉人生 - 影集《華麗計程車行》插曲
11,Firdhaus - 在加納共和國離婚 (w/ DIOR 大穎),1,Firdhaus,在加納共和國離婚 (w/ DIOR 大穎)
12,Firdhaus - 能遇見，就很不錯了,3,Firdhaus,能遇見，就很不錯了
13,NewJeans - How Sweet,1,NewJeans,How Sweet
14,aespa - Supernova,1,aespa,Supernova
15,Billie Eilish - BIRDS OF A FEATHER,15,Billie Eilish,BIRDS OF A FEATHER
16,承桓 - 总会有人 (男版),9,承桓,总会有人 (男版)
17,KISS OF LIFE - Sticky,12,KISS OF LIFE,Sticky
18,aespa - Armageddon,5,aespa,Armageddon
19,高爾宣 OSN - Hold On (w/ Patrick Brasca),1,高爾宣 OSN,Hold On (w/ Patrick Brasca)
20,NewJeans - Supernatural,8,NewJeans,Supernatural
21,Jung Kook - Seven (w/ Latto),1,Jung Kook,Seven (w/ Latto)
22,张韶涵 - 暮色回响 - 电影《默杀》推广曲,19,张韶涵,暮色回响 - 电影《默杀》推广曲
23,Sabrina Carpenter - Espresso,10,Sabrina Carpenter,Espresso
24,BABYMONSTER - SHEESH,2,BABYMONSTER,SHEESH
25,LISA - Rockstar,9,LISA,Rockstar
26,Stray Kids - Chk Chk Boom,16,Stray Kids,Chk Chk Boom
27,Taylor Swift - Cruel Summer,2,Taylor Swift,Cruel Summer
28,承桓 - 我会等,1,承桓,我会等
29,(G)I-DLE - Fate,5,(G)I-DLE,Fate
30,卢卢快闭嘴 - 字字句句,4,卢卢快闭嘴,字字句句
