,Artist,Title,Days,Pk,x,Streams,Streams+,7Day,7Day+,Total
0,V,Love Me Again,358,1,29,132982,1631,915375,7272,19283746
1,Jimin,Who,15,1,5,101137,-12484,835988,-25598,1494552
2,V,FRI(END)S,141,2,10,76455,1231,527039,3316,7168411
3,Bestards,離開的一路上,274,1,6,64143,2616,420104,6782,13760750
4,ILLIT,Magnetic,131,1,57,60462,2519,394348,5527,12368528
5,BABYMONSTER,FOREVER,33,2,5,54465,158,388067,-5279,1841517
6,Lee Young Ji,Small girl (w/ D.O.),43,1,6,52372,-541,372003,-3584,2920493
7,邱軍,運轉人生,82,8,,51785,3208,332543,4761,3391868
8,(G)I-DLE,Klaxon,26,6,,51524,998,362236,-2409,1389974
9,Firdhaus,在加納共和國離婚 (w/ DIOR 大穎),203,1,3,50960,2520,345653,-612,8956888
10,V,Slow Dancing,272,4,,49613,-4354,384950,-12732,8888649
11,NewJeans,How Sweet,71,1,26,47768,2161,318618,1818,4827750
12,Billie Eilish,BIRDS OF A FEATHER,78,13,,47602,4011,301511,4881,3093435
13,Firdhaus,能遇見，就很不錯了,33,3,4,46916,1061,337459,-9757,1466995
14,aespa,Supernova,82,1,3,46786,1424,314260,411,5318246
15,承桓,总会有人 (男版),172,9,,43098,1001,284226,439,6530090
16,KISS OF LIFE,Sticky,33,12,,42645,569,301100,-3703,1277439
17,张韶涵,暮色回响,14,18,,42347,3525,221281,23173,328601
18,aespa,Armageddon,68,5,,41853,2022,255365,5685,3349759
19,NewJeans,Supernatural,43,8,,41491,2280,275078,109,2083666
20,高爾宣 OSN,Hold On (w/ Patrick Brasca),50,1,1,40561,816,274236,-948,2932054
21,Sabrina Carpenter,Espresso,110,10,,39153,2373,255203,2821,4524775
22,Jung Kook,Seven (w/ Latto),386,1,162,39010,-2,257760,2412,24362905
23,BABYMONSTER,SHEESH,124,2,3,37306,935,256335,209,6849919
24,Taylor Swift,Cruel Summer,462,2,8,37200,2439,227538,8257,14813718
25,卢卢快闭嘴,字字句句,437,4,,36095,3548,218363,4081,16629230
26,Bestards,不是因為天氣晴朗才愛你,1734,4,,35971,4506,232442,1716,41848581
27,Stray Kids,Chk Chk Boom,15,16,,35627,805,256885,-5903,535391
28,承桓,我会等,486,1,7,35518,1189,242135,-1301,25359660
29,LISA,Rockstar,36,9,,35463,228,245969,-2219,1637744
30,(G)I-DLE,Fate,174,5,,34231,543,232296,1609,6385887
31,ZQS,这是你期盼的长大吗,192,27,,34230,1904,222358,1328,4951318
32,Energy,星期五晚上,84,19,,31743,3501,212786,1518,2566936
33,ZICO,SPOT! (w/ JENNIE),99,2,18,30936,965,209903,-575,5600129
34,LE SSERAFIM,EASY,166,1,29,30811,951,208397,957,8700235
35,Karencici,愛你但說不出口,11,36,,29858,1361,165164,10021,229660
36,NAYEON,ABCD,50,9,,29725,1185,196209,958,1982104
37,aespa,Drama,266,4,,29469,1034,197837,785,9811437
38,BABYMONSTER,LIKE THAT,121,16,,29083,272,199579,880,2935056
39,Sabrina Carpenter,Please Please Please,55,17,,28598,1798,185835,1738,1704250
40,JOYCE 就以斯,都是weather你 (w/ 楊子平 ᏟᎪsᏢᎬᏒ),159,2,4,27809,400,190125,-1310,6685030
41,Jay Chou,擱淺,1068,23,,27734,1366,184608,1108,18898697
42,Taylor Swift,Fortnight (w/ Post Malone),106,2,8,27471,190,189961,-870,5410816
43,邱軍,愛不愛我,61,43,,27437,1266,179239,2747,1065032
44,LE SSERAFIM,Smart,166,7,,27253,944,181046,1145,6108747
45,ØZI,EEEASY (w/ 艾志恒Asen),22,33,,27198,947,192416,-1532,574207
46,颜人中,有些,1128,16,,26940,1648,177552,4891,22547470
47,Patrick Brasca,I Hate Myself Sometimes (w/ 李浩瑋 Howard Lee),220,1,27,25608,410,171574,-287,9172114
48,WeiBird,如果可以,1001,1,275,25304,842,174098,-838,44301294
49,The Kid LAROI,Stay (w/ Justin Bieber),1120,1,105,24223,2066,148485,3930,30873474
50,Nicky Lee,想太多,664,19,,24148,59,168715,1315,12424024
51,Jolin Tsai,妥協,57,44,,23920,1870,159730,-1123,1032669
52,Cyndi Wang,當你,1572,27,,23700,638,166534,-602,16856693
53,Capper,雪 Distance (w/ RollFlash),503,7,,23667,1192,134555,7064,11309602
54,Firdhaus,友谊长存,112,17,,22876,1329,139248,2891,2878208
55,Charli xcx,Guess featuring Billie Eilish (w/ Billie Eilish),1,56,,22717,22717,22717,22717,
56,elijah woods,"24/7, 365",337,19,,21857,536,143434,3208,8447512
57,政学Zed,X,457,9,,21481,-505,139218,1993,12510120
58,高爾宣 OSN,Without You,1946,1,82,21355,-1237,152375,-1193,48754722
59,Benson Boone,Beautiful Things,182,17,,21330,784,147247,-1367,4918074
60,Ronghao Li,年少有為,2198,1,4,21018,2787,126183,3140,33728940
61,David Tao,"愛, 很簡單",56,54,,20978,2178,134542,3311,642405
62,EggPlantEgg,浪流連,2043,1,25,20735,1191,140333,-872,32439627
63,Bestards,我就想你,981,8,,20735,2377,130279,2672,21150280
64,Jimin,Be Mine,7,65,,20563,20563,20563,105113,
65,LE SSERAFIM,Perfect Night,281,1,10,20420,51,138813,309,12921894
66,小阿七,从前说,909,4,,20361,1389,128671,2291,23340556
67,向思思,总会有人,168,51,,20218,1877,136084,-178,2998441
68,The Chainsmokers,Something Just Like This (w/ Coldplay),2484,1,112,20179,1081,128028,1973,25881756
69,王宇宙Leto,若月亮没来（若是月亮还没来） (w/ 乔浚丞),53,39,,19932,157,141762,-4354,1130722
70,*NSYNC,Bye Bye Bye,5,64,,19879,223,87827,19879,87827
71,陳華,想和你看五月的晚霞,649,3,60,19873,-170,136956,-1504,21844392
72,NewJeans,Hype Boy,733,5,,19601,506,131553,-123,17943330
73,NewJeans,Super Shy,393,1,5,19530,-694,138720,-1571,14545334
74,en,嚣张,548,49,,19367,1456,117287,3512,8838973
75,Patrick Brasca,3am,281,4,,19338,469,135382,-589,10068265
76,Tanya Chua,無底洞,41,77,,19308,2318,112253,3439,488411
77,Ronghao Li,走走,13,68,,19157,10,121430,3497,206280
78,李浩瑋 Howard Lee,無垢,146,70,,19153,1024,116352,3377,2229310
79,Jay Chou,晴天,1755,15,,18890,1458,122890,173,22579424
80,keshi,Say,22,39,,18817,-777,147778,-5816,506728
81,Stefanie Sun,我懷念的,891,57,,18552,730,127732,1591,5043710
82,NewJeans,Ditto,593,1,48,18548,558,123148,378,17779724
