,Artist,Title,Days,T10,Pk,x,PkStreams,Total
0,高爾宣 OSN,Without You,1945,613,1,82,46067,48733367.0
1,WeiBird,如果可以,1000,608,1,275,147343,44275990.0
2,Ren Ran,飞鸟和蝉,1420,757,1,14,49553,42561207.0
3,Bestards,不是因為天氣晴朗才愛你,1733,370,4,,46373,41812610.0
4,Eric Chou,怎麼了,2030,586,2,11,38874,41733043.0
5,831,"想見你想見你想見你(電視劇""想見你""片尾曲)",1642,505,1,128,56311,38417588.0
6,Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein),1300,462,1,177,81244,37980233.0
7,告五人,披星戴月的想你,2036,15,32817,,37032621,
8,EggPlantEgg,愛情你比我想的閣較偉大,1052,620,1,77,118062,34294104.0
9,Ronghao Li,年少有為,2197,204,1,4,29440,33707922.0
10,Fish Leong,慢冷,1904,11,30203,,32660660,
11,EggPlantEgg,浪流連,2042,266,1,25,40765,32418892.0
12,The Kid LAROI,Stay,1119,359,1,105,60798,30849251.0
13,EggPlantEgg,閣愛妳一擺,965,452,2,142,109766,29625731.0
14,Vicky Chen,炙愛,1556,14,9,,36240,27851184.0
15,告五人,好不容易 (《華燈初上》片尾曲),946,445,2,66,61777,27638107.0
16,Yisa Yu,路過人間 (電視劇《我們與惡的距離》插曲),1818,73,4,,30716,26728911.0
17,A,Lin,1763,293,1,18,41914,26569964.0
18,G.E.M.,光年之外 (電影 《Passengers》 中國區主題曲),2718,2,8,,18738,26092449.0
19,The Chainsmokers,Something Just Like This,2483,256,1,112,61114,25861577.0
20,张远,嘉宾,1060,165,5,,40468,25628457.0
21,承桓,我会等,485,353,1,7,69887,25324142.0
22,告五人,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),1012,491,2,43,56804,25320313.0
23,高爾宣 OSN,Why You Gonna Lie,1793,116,3,9,33025,24663582.0
24,Jung Kook,Seven,385,284,1,162,156778,24323895.0
25,Eric Chou,"你,好不好?",2767,5,7,,14455,24180613.0
26,LaLa Hsu,真的傻 (電影《一吻定情》追愛版主題曲),1443,64,6,,29425,23764975.0
27,小阿七,从前说,908,111,4,,43788,23320195.0
28,Lewis Capaldi,Someone You Loved,1800,14,23905,,22775177,
29,Power Station,我很好騙,1054,189,5,,36553,22741959.0
30,告五人,愛人錯過,1452,12,32306,,22712795,
31,Jay Chou,晴天,1754,15,37580,,22560534,
32,颜人中,有些,1127,16,35875,,22520530,
33,EggPlantEgg,浪子回頭,1910,149,1,1,26350,21959415.0
34,陳華,想和你看五月的晚霞,648,279,3,60,58273,21824519.0
35,Bestards,我就想你,980,3,8,,40325,21129545.0
36,Tanya Chua,紅色高跟鞋,1762,41,21641,,20853506,
